_id,Nº/ANO,FATO,FATO AGRUPADO,DATA DO FATO,HORA DO FATO,UF,MUNICÍPIO,CÓDIGO IBGE,BAIRRO
1278,1566/2023 - 1DP-PONTA PORÃ,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",16/07/2023,20:30:00,MS,PONTA PORÃ,5006606,DA MOOCA
1279,476/2023 - DP-RIO VERDE,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",16/07/2023,16:00:00,MS,CORUMBÁ,5003207,""
1280,1565/2023 - 1DP-PONTA PORÃ,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",16/07/2023,15:45:00,MS,PONTA PORÃ,5006606,SANTA ISABEL
1281,4735/2023 - DEPAC-CEPOL-CG,HOMICIDIO QUALIFICADO COM EMPREGO DE ARMA DE FOGO DE USO RESTRITO OU PROIBIDO,"HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",16/07/2023,07:44:00,MS,CAMPO GRANDE,5002704,GUANANDI
1282,3241/2023 - 1DP-CORUMBA,"HOMICIDIO SIMPLES, PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO, HOMICIDIO SIMPLES NA FORMA TENTADA","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS, PORTE E POSSE DE ARMA DE FOGO, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS",16/07/2023,01:12:00,MS,CORUMBÁ,5003207,CRISTO REDENTOR
1283,930/2023 - DP-AMAMBAI,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",16/07/2023,00:46:00,MS,AMAMBAI,5000609,VILA LIMEIRA
1284,3220/2023 - 1DP-CORUMBA,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",14/07/2023,10:20:00,MS,CORUMBÁ,5003207,LOTEAMENTO PANTANAL
1285,1319/2023 - 1DP-AQUIDAUANA,"ROUBO QUALIFICADO, SE DA VIOLENCIA RESULTA MORTE","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, ROUBO, FATOS TIPICOS QUE RESULTAM EM MORTE",12/07/2023,22:00:00,MS,AQUIDAUANA,5001102,SERRARIA
1286,231/2023 - DAM-NOVA ANDRADINA,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",12/07/2023,13:30:00,MS,NOVA ANDRADINA,5006200,CONJUNTO HABITACIONAL DURVAL ANDRADE FILHO
1287,4663/2023 - DEPAC-CEPOL-CG,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",12/07/2023,08:00:00,MS,ANASTÁCIO,5000708,""
